Date,Description,Amount,Extended Details,Appears On Your Statement As,Address,Town/City,Postcode,Country,Reference,Category
11/12/2023,DELIVEROO               LONDON,34.09,,DELIVEROO               LONDON,1 COUSIN LANE,LONDON,EC4R 3TE,UNITED KINGDOM OF GB AND NI,'AT233460051000010342629',Entertainment-Restaurants
11/12/2023,PAYPAL *ARCTERYX        6046558566,195.00,,PAYPAL *ARCTERYX        6046558566,"LYON WAY
THETA BUILDING",FRIMLEY,GU16 7ER,UNITED KINGDOM OF GB AND NI,'AT233460051000010333566',General Purchases-Clothing Stores
10/12/2023,ADIDAS                  HERZOGENAURACH,308.00,,ADIDAS                  HERZOGENAURACH,PEPPER ROAD HAZEL GROVE,STOCKPORT,SK7 5SA,UNITED KINGDOM OF GB AND NI,'AT233450051000010350046',General Purchases-Sporting Goods Stores
10/12/2023,J D WETHERSPOON PLC     WATFORD,7.28,,J D WETHERSPOON PLC     WATFORD,WETHERSPOON HOUSE REEDS CRESCENT,WATFORD,WD24 4QL,UNITED KINGDOM OF GB AND NI,'AT233450051000010333861',Entertainment-Bars & Cafés
10/12/2023,SP DARN TOUGH UK        CHESTER,35.00,,SP DARN TOUGH UK        CHESTER,"""OFFICE 4 3/F COACHWORKS ARCADE, NORTHGAT""",CHESTER,CH1,UNITED KINGDOM OF GB AND NI,'AT233440040000010437951',General Purchases-Clothing Stores
10/12/2023,SPORTAS LIMITED         LONDON,-12.00,,SPORTAS LIMITED         LONDON,14 GAINSBOROUGH ROAD GAINSBOROUGH ROAD,LONDON,E15 3AF,UNITED KINGDOM OF GB AND NI,'AT233450051000010303805',Entertainment-Sports Events
10/12/2023,ST. PANCRAS STATION MAI LONDON,16.15,GOODS,ST. PANCRAS STATION MAI LONDON,"UNIT 23 THE CIRCLE
ST PANCRAS STATION
EUSTON ROAD",LONDON,NW1 2QP,UNITED KINGDOM OF GB AND NI,'AT233450051000010295591',General Purchases-Groceries
10/12/2023,TFL TRAVEL CHARGE       TFL.GOV.UK/CP,9.00,,TFL TRAVEL CHARGE       TFL.GOV.UK/CP,"CUSTOMER EXPERIENCE 4TH FLOOR
FAO SIMON FINE WINDSOR HOUSE
42-50 VICTORIA STREET",LONDON,SW1H 0TL,UNITED KINGDOM OF GB AND NI,'AT233450051000010282393',Travel-Other Travel
09/12/2023,AMZNMKTPLACE            AMAZON.CO.UK,29.59,,AMZNMKTPLACE            AMAZON.CO.UK,"1 PRINCIPAL PLACE
WORSHIP ST",LONDON,EC2A 2BA,UNITED KINGDOM OF GB AND NI,'AT233440076000010041071',General Purchases-Online Purchases
09/12/2023,BOOTS THE CHEMIST       LONDON,0.75,MERCHANDISE,BOOTS THE CHEMIST       LONDON,385-389 OXFORD STREET,LONDON,W1C 2NB,UNITED KINGDOM OF GB AND NI,'AT233440040000010419644',General Purchases-Pharmacies
09/12/2023,DELIVEROO               LONDON,14.78,,DELIVEROO               LONDON,1 COUSIN LANE,LONDON,EC4R 3TE,UNITED KINGDOM OF GB AND NI,'AT233440040000010404303',Entertainment-Restaurants
09/12/2023,DELIVEROO               LONDON,19.49,,DELIVEROO               LONDON,1 COUSIN LANE,LONDON,EC4R 3TE,UNITED KINGDOM OF GB AND NI,'AT233440040000010370760',Entertainment-Restaurants
09/12/2023,TFL TRAVEL CHARGE       TFL.GOV.UK/CP,5.70,,TFL TRAVEL CHARGE       TFL.GOV.UK/CP,"CUSTOMER EXPERIENCE 4TH FLOOR
FAO SIMON FINE WINDSOR HOUSE
42-50 VICTORIA STREET",LONDON,SW1H 0TL,UNITED KINGDOM OF GB AND NI,'AT233440040000010382776',Travel-Other Travel
09/12/2023,ZETTLE *H2C GELATI LTD  BOREHAMWOOD,24.90,,ZETTLE *H2C GELATI LTD  BOREHAMWOOD,67A KINGS ROAD,LONDON,SW3 4NT,UNITED KINGDOM OF GB AND NI,'AT233440040000010402897',Entertainment-Restaurants
08/12/2023,ADIDAS                  HERZOGENAURACH,574.00,,ADIDAS                  HERZOGENAURACH,PEPPER ROAD HAZEL GROVE,STOCKPORT,SK7 5SA,UNITED KINGDOM OF GB AND NI,'AT233430040000010377384',General Purchases-Sporting Goods Stores
08/12/2023,AMZNMKTPLACE            AMAZON.CO.UK,13.98,,AMZNMKTPLACE            AMAZON.CO.UK,"1 PRINCIPAL PLACE
WORSHIP ST",LONDON,EC2A 2BA,UNITED KINGDOM OF GB AND NI,'AT233430040000010351907',General Purchases-Online Purchases
08/12/2023,APPLE.COM/BILL          HOLLYHILL,5.99,,APPLE.COM/BILL          HOLLYHILL,"SUBMISSIONS UK
8-10 MATHIAS HARDT
LUXEMBOURG",,L-0717,LUXEMBOURG,'AT233420071000010043366',General Purchases-Computer Supplies
08/12/2023,ELLIS BRIGHAM           LONDON,20.00,,ELLIS BRIGHAM           LONDON,6 CHEAPSIDE PASSAGE,LONDON,EC2V 6AF,UNITED KINGDOM OF GB AND NI,'AT233430040000010378112',General Purchases-Sporting Goods Stores
08/12/2023,EPOSNOW*ATHENS GRILL    NORWICH,10.00,,EPOSNOW*ATHENS GRILL    NORWICH,"2 WHITING ROAD
BUSINESS PARK",NORWICH,NR4 6DJ,UNITED KINGDOM OF GB AND NI,'AT233420051000010374726',Entertainment-Restaurants
08/12/2023,M&S BISHOPS STORTFORD   GREATER LONDON,40.55,GOODS,M&S BISHOPS STORTFORD   GREATER LONDON,6 CITY NORTH PLACE,LONDON,N4 3FU,UNITED KINGDOM OF GB AND NI,'AT233430040000010412206',General Purchases-Department Stores
08/12/2023,TFL TRAVEL CHARGE       TFL.GOV.UK/CP,9.60,,TFL TRAVEL CHARGE       TFL.GOV.UK/CP,"CUSTOMER EXPERIENCE 4TH FLOOR
FAO SIMON FINE WINDSOR HOUSE
42-50 VICTORIA STREET",LONDON,SW1H 0TL,UNITED KINGDOM OF GB AND NI,'AT233440040000010379088',Travel-Other Travel
08/12/2023,UBER EATS               HTTPS://HELP.UB,20.58,,UBER EATS               HTTPS://HELP.UB,"ALDGATE TOWER FIRST FLOOR 2 LEHMAN
STREET",LONDON,E1 8FA,UNITED KINGDOM OF GB AND NI,'AT233430040000010389316',Miscellaneous-Other
07/12/2023,APPLE.COM/BILL          HOLLYHILL,4.99,,APPLE.COM/BILL          HOLLYHILL,"SUBMISSIONS UK
8-10 MATHIAS HARDT
LUXEMBOURG",,L-0717,LUXEMBOURG,'AT233420071000010043024',General Purchases-Computer Supplies
07/12/2023,TFL TRAVEL CHARGE       TFL.GOV.UK/CP,4.75,,TFL TRAVEL CHARGE       TFL.GOV.UK/CP,"CUSTOMER EXPERIENCE 4TH FLOOR
FAO SIMON FINE WINDSOR HOUSE
42-50 VICTORIA STREET",LONDON,SW1H 0TL,UNITED KINGDOM OF GB AND NI,'AT233420051000010311484',Travel-Other Travel
07/12/2023,TFL TRAVEL CHARGE       TFL.GOV.UK/CP,7.70,,TFL TRAVEL CHARGE       TFL.GOV.UK/CP,"CUSTOMER EXPERIENCE 4TH FLOOR
FAO SIMON FINE WINDSOR HOUSE
42-50 VICTORIA STREET",LONDON,SW1H 0TL,UNITED KINGDOM OF GB AND NI,'AT233420051000010313057',Travel-Other Travel
